ID,mese,annrif,progind,sesso,eta10,staciv4,reg,rip,istr4,condogg,posiz4,ateco3,cond4,ORARIO,RAPP,CODPROF7,progesc,DEST_EIE,DEST_ERE,DEST_EPR,MOTESC,PARTESC,NPARTESC,EMEZZO,TRIM
143,5,2014,1186,1,1,1,120,3,1,0,0,0,0,0,0,0,1,1,11,41,9,1,3,5,2
144,1,2014,1190,2,2,2,190,5,2,2,0,0,2,0,0,0,1,1,19,89,1,1,3,5,1
145,4,2014,1225,2,5,3,150,4,3,1,1,3,1,1,2,3,1,1,15,61,8,1,3,5,2
146,5,2014,1232,1,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,35,2,1,4,5,2
147,5,2014,1232,1,1,1,80,2,1,0,0,0,0,0,0,0,2,1,8,35,1,1,4,5,2
148,5,2014,1270,1,4,1,40,2,3,1,1,2,1,1,1,5,1,1,1,1,1,2,1,5,2
149,11,2014,1273,1,6,2,180,4,1,3,4,3,4,0,0,6,1,1,18,78,3,1,3,5,4
150,6,2014,1277,1,6,2,150,4,3,1,2,3,1,1,2,5,1,1,15,63,6,1,3,5,2
151,6,2014,1277,1,6,2,150,4,3,1,2,3,1,1,2,5,2,1,15,61,6,1,3,5,2
152,3,2014,1282,2,5,1,60,2,3,1,1,2,1,1,2,3,1,2,121,0,1,2,1,5,1
153,3,2014,1285,1,7,2,130,4,3,3,1,3,4,0,0,2,1,1,13,68,2,1,2,5,1
154,5,2014,1302,1,2,1,70,1,2,3,0,0,3,0,0,0,1,1,7,9,9,1,3,5,2
155,5,2014,1302,1,2,1,70,1,2,3,0,0,3,0,0,0,2,1,7,8,9,2,1,5,2
156,8,2014,1303,2,4,1,120,3,4,1,1,3,1,2,2,2,1,1,12,57,1,2,1,9,3
157,4,2014,1308,1,4,2,80,2,2,1,2,2,1,1,2,5,1,1,8,38,2,1,2,5,2
158,2,2014,1327,2,5,2,40,2,3,2,2,3,2,0,0,6,1,1,5,23,2,1,2,2,1
159,2,2014,1327,2,5,2,40,2,3,2,2,3,2,0,0,6,2,1,4,21,2,1,2,2,1
160,7,2014,1335,1,4,2,60,2,2,1,2,2,1,1,2,6,1,1,5,27,1,2,1,5,3
161,7,2014,1335,1,4,2,60,2,2,1,2,2,1,1,2,6,2,1,5,27,1,2,1,5,3
162,7,2014,1335,1,4,2,60,2,2,1,2,2,1,1,2,6,3,1,5,27,1,2,1,5,3
163,11,2014,1377,1,6,3,50,2,2,1,2,3,1,1,2,6,1,1,8,36,1,2,1,5,4
164,4,2014,1378,1,4,1,80,2,4,1,1,3,1,1,2,4,1,1,5,27,1,1,3,2,2
165,5,2014,1381,1,6,2,80,2,2,1,1,2,1,1,2,3,1,1,8,35,4,1,2,5,2
166,12,2014,1395,2,4,2,80,2,3,1,2,2,1,1,2,6,1,1,8,39,2,1,3,5,4
167,4,2014,1402,1,1,1,20,1,1,0,0,0,0,0,0,0,1,1,3,18,2,1,4,5,2
168,3,2014,1404,2,6,2,90,3,3,1,1,2,1,2,2,2,1,1,12,58,3,2,1,6,1
169,6,2014,1418,2,5,3,90,3,1,1,2,3,1,1,2,3,1,1,9,53,1,2,1,5,2
170,6,2014,1418,2,5,3,90,3,1,1,2,3,1,1,2,3,2,1,9,46,1,1,2,5,2
171,10,2014,1422,1,1,1,170,4,1,0,0,0,0,0,0,0,1,1,17,77,2,1,3,5,4
172,8,2014,1424,1,2,1,90,3,2,3,0,0,3,0,0,0,1,1,9,100,4,1,2,5,3
